"Date of Airing (EST)","Topic List","Fact Check","TV Clip",Organization,Collection
2017-09-27,Taxes,https://www.washingtonpost.com/news/fact-checker/wp/2017/09/28/fact-checking-president-trumps-tax-speech-in-indianapolis,https://archive.org/details/CSPAN_20170928_004700_President_Trump_Pushes_Tax_Proposal_in_Indianapolis_Speech/start/1505/end/1515,"Washington Post",trumparchive
2017-09-27,"Taxes,History",https://www.washingtonpost.com/news/fact-checker/wp/2017/09/28/fact-checking-president-trumps-tax-speech-in-indianapolis,https://archive.org/details/CSPAN_20170928_004700_President_Trump_Pushes_Tax_Proposal_in_Indianapolis_Speech/start/1460/end/1482,"Washington Post",trumparchive
2017-09-27,Taxes,http://www.politifact.com/truth-o-meter/statements/2017/sep/28/donald-trump/donald-trumps-pants-fire-claim-about-estate-tax-sm/,https://archive.org/details/CSPAN_20170928_004700_President_Trump_Pushes_Tax_Proposal_in_Indianapolis_Speech/start/1214.5/end/1293.5,PolitiFact,trumparchive
2017-09-27,Taxes,http://www.factcheck.org/2017/09/death-tax-talking-point-wont-die/,https://archive.org/details/CSPAN_20170928_004700_President_Trump_Pushes_Tax_Proposal_in_Indianapolis_Speech/start/1214.5/end/1293.5,FactCheck.org,trumparchive
2017-09-27,Taxes,https://www.washingtonpost.com/news/fact-checker/wp/2017/09/28/fact-checking-president-trumps-tax-speech-in-indianapolis,https://archive.org/details/CSPAN_20170928_004700_President_Trump_Pushes_Tax_Proposal_in_Indianapolis_Speech/start/1214.5/end/1293.5,"Washington Post",trumparchive
2017-09-27,Taxes,https://www.washingtonpost.com/news/fact-checker/wp/2017/09/28/fact-checking-president-trumps-tax-speech-in-indianapolis,https://archive.org/details/CSPAN_20170928_004700_President_Trump_Pushes_Tax_Proposal_in_Indianapolis_Speech/start/1136/end/1154,"Washington Post",trumparchive
2017-09-27,Taxes,https://www.washingtonpost.com/news/fact-checker/wp/2017/09/28/fact-checking-president-trumps-tax-speech-in-indianapolis,https://archive.org/details/CSPAN_20170928_004700_President_Trump_Pushes_Tax_Proposal_in_Indianapolis_Speech/start/1065/end/1075,"Washington Post",trumparchive
2017-09-27,"Families,Taxes",https://www.washingtonpost.com/news/fact-checker/wp/2017/09/28/fact-checking-president-trumps-tax-speech-in-indianapolis,https://archive.org/details/CSPAN_20170928_004700_President_Trump_Pushes_Tax_Proposal_in_Indianapolis_Speech/start/865/end/882,"Washington Post",trumparchive
2017-09-27,"Taxes,Economy",https://www.washingtonpost.com/news/fact-checker/wp/2017/09/28/fact-checking-president-trumps-tax-speech-in-indianapolis,https://archive.org/details/CSPAN_20170928_004700_President_Trump_Pushes_Tax_Proposal_in_Indianapolis_Speech/start/523/end/605,"Washington Post",trumparchive
2017-09-27,"Taxes,Wealth",http://www.politifact.com/truth-o-meter/statements/2017/sep/28/donald-trump/donald-trumps-dubious-claim-his-tax-plan-wont-bene/,https://archive.org/details/CSPAN_20170928_003500_President_Says_He_Will_Negotiate_with_Democrats_on_Health_Care/start/390/end/404,PolitiFact,trumparchive
2017-09-27,Elections,http://www.politifact.com/truth-o-meter/article/2017/sep/27/what-does-law-say-about-donald-trumps-deleted-twee/,https://archive.org/details/MSNBCW_20170927_200000_Deadline_White_House/start/100/end/130,PolitiFact,trumparchive
2017-09-24,"Sports,Civil Rights",http://www.politifact.com/truth-o-meter/statements/2017/sep/24/donald-trump/trumps-mostly-false-claim-nfl-ratings-are-way-down/,https://archive.org/details/CNNW_20170924_130000_State_of_the_Union_With_Jake_Tapper/start/105/end/125,PolitiFact,trumparchive
2017-09-23,"Sports,Civil Rights",https://www.washingtonpost.com/news/fact-checker/wp/2017/10/05/the-nfl-and-the-first-amendment-a-guide-to-the-debate/,https://archive.org/details/CSPAN_20170923_041400_President_Trump_Campaigns_for_Alabama_Senator_Luther_Strange/start/2730/end/2879,"Washington Post",trumparchive
2017-09-23,"Drugs,Crime,Homeland Security,Immigration",http://www.politifact.com/truth-o-meter/statements/2017/sep/27/donald-trump/trump-largely-accurate-claim-about-drugs-catapulte/,https://archive.org/details/CSPAN_20170923_041400_President_Trump_Campaigns_for_Alabama_Senator_Luther_Strange/start/2391/end/2413,PolitiFact,trumparchive
2017-09-23,"Foreign Policy",http://www.factcheck.org/2017/09/world-opinion-trump-u-s/,https://archive.org/details/CSPAN_20170923_041400_President_Trump_Campaigns_for_Alabama_Senator_Luther_Strange/start/794/end/808,FactCheck.org,trumparchive
2017-09-21,History,http://www.politifact.com/truth-o-meter/statements/2017/sep/21/mike-pence/mike-pence-erroneously-credits-thomas-jefferson-sm/,https://archive.org/details/FOXNEWSW_20170921_100000_FOX__Friends/start/7527.8/end/7544.5,PolitiFact,mike_pence_archive
2017-09-21,"Health Care",http://www.politifact.com/truth-o-meter/statements/2017/sep/21/donald-trump/trumps-misleading-claim-pre-existing-protections/,https://archive.org/details/MSNBCW_20170921_060000_The_11th_Hour_With_Brian_Williams/start/2102.6/end/2119.4,PolitiFact,trumparchive
2017-09-21,"Health Care",http://www.factcheck.org/2017/09/preexisting-conditions-debate-2/,https://archive.org/details/MSNBCW_20170921_060000_The_11th_Hour_With_Brian_Williams/start/2102.6/end/2119.4,FactCheck.org,trumparchive
2017-09-19,"Foreign Policy,Federal Budget",http://www.politifact.com/truth-o-meter/article/2017/sep/19/fact-checking-donald-trumps-speech-un/,https://archive.org/details/CSPAN_20170919_192200_President_Trump_Threatens_to_Destroy_North_Korea_in_U.N._Speech/start/1824/end/1840,PolitiFact,trumparchive
2017-09-19,"Foreign Policy,Federal Budget",http://www.factcheck.org/2017/09/trumps-u-n-speech/,https://archive.org/details/CSPAN_20170919_192200_President_Trump_Threatens_to_Destroy_North_Korea_in_U.N._Speech/start/1713/end/1723.6,FactCheck.org,trumparchive
